id	veznev	kernev	nem
88	Péter	Jenni	Nő
89	Péter	Bogárka	Nő
90	Virág	Bercel	Férfi
91	Virág	Eliot	Férfi
92	Virág	Európa	Nő
93	Juhász	Antoniett	Nő
94	Péter	Meril	Nő
95	Péter	Arzén	Férfi
96	Kozma	Maxim	Férfi
97	Kozma	Brenda	Nő
98	Hegedűs	Berzsián	Férfi
99	Hegedűs	Roland	Férfi
100	Rácz	Rozmaring	Nő
101	Pásztor	Karla	Nő
102	Pásztor	Cecilla	Nő
103	Pásztor	Jeles	Férfi
104	Máté	Bódog	Férfi
105	Máté	Nasszer	Férfi
106	Máté	Apollinár	Férfi
107	Máté	Jusztin	Férfi
108	Máté	Namika	Nő
109	Antal	Kien	Férfi
110	Antal	Jusztusz	Férfi
111	Antal	Rupert	Férfi
112	Horváth	Angéla	Nő
113	Kerekes	Kiliána	Nő
114	Fekete	Lenka	Nő
115	Pásztor	Kimberli	Nő
116	Pásztor	Patony	Férfi
117	Pásztor	Sári	Nő
118	Pásztor	Őzike	Nő
119	Nagy	Narcisszusz	Férfi
120	Nagy	Naida	Nő
121	Török	Nea	Nő
122	Pásztor	Nilsz	Férfi
123	Takács	Henna	Nő
124	László	Cezarin	Nő
125	László	Kalipszó	Nő
126	László	Gópál	Férfi
127	László	Hermina	Nő
128	Lengyel	Norella	Nő
129	Magyar	Örsi	Nő
130	Deák	Héla	Nő
131	Máté	Pelágia	Nő
132	Illés	Bogdán	Férfi
133	Illés	Janek	Férfi
134	Illés	Gotárd	Férfi
135	Illés	Bazilia	Nő
136	Illés	Orion	Férfi
137	Vass	Fehére	Nő
138	Máté	Páris	Férfi
139	Máté	Búzavirág	Nő
140	Máté	Gida	Férfi
141	Máté	Zéna	Nő
142	Boros	Jamina	Nő
143	Antal	Petur	Férfi
144	Antal	Dotti	Nő
145	Antal	Bató	Férfi
146	Antal	Szamia	Nő
147	Simon	Erhárd	Férfi
148	Simon	Mátka	Nő
149	Simon	Derien	Nő
150	Simon	Róza	Nő
151	Simon	Bod	Férfi
152	Szalai	Zakeus	Férfi
153	Szalai	Hubertusz	Férfi
154	Németh	Manon	Nő
155	Orbán	Deli	Férfi
156	Orbán	Som	Férfi
157	Orbán	Szépe	Nő
158	Bognár	Március	Férfi
159	Bognár	Csépán	Férfi
160	Bognár	Róbert	Férfi
161	Bognár	Loránd	Férfi
162	Gál	Szecső	Férfi
163	Gál	Orgona	Nő
164	Barna	Milli	Nő
165	Sándor	Grizeldisz	Nő
166	Sándor	Örs	Férfi
167	Somogyi	Mika	Férfi
168	Somogyi	Filoméla	Nő
169	Szilágyi	Hilda	Nő
170	Pásztor	Krisztin	Nő
171	Hajdu	Gábor	Férfi
172	Hajdu	Nauzika	Nő
173	Hajdu	Adolfina	Nő
174	Varga	Léda	Nő
175	Máté	Étán	Férfi
176	Veres	Nila	Nő
177	Pásztor	Göncöl	Férfi
178	Pap	Csenge	Nő
179	Pásztor	Julcsi	Nő
180	Pásztor	Johanka	Nő
181	Fülöp	Kasztor	Férfi
182	Fülöp	Nikolász	Férfi
183	Soós	Absolon	Férfi
184	Soós	Keresztes	Férfi
185	Dudás	Zelmira	Nő
186	Bognár	Bodza	Nő
187	Bognár	Ilcsi	Nő
188	Bognár	Belinda	Nő
189	Bognár	Amandina	Nő
190	Szücs	Jelka	Nő
191	Bognár	Oberon	Férfi
192	Halász	Lolita	Nő
193	Simon	Noélia	Nő
194	Bogdán	Ténia	Nő
195	Orbán	Alesszia	Nő
196	Orbán	Borisz	Férfi
197	Orbán	Karitász	Nő
198	Orbán	Eper	Nő
199	Kis	Izidor	Férfi
200	Kis	Dása	Nő
201	Fazekas	Ince	Férfi
202	Fazekas	Zakariás	Férfi
203	Fazekas	Berárd	Férfi
204	Fazekas	Hamid	Férfi
205	Fazekas	Bedő	Férfi
206	Jakab	Doren	Nő
207	Illés	Szandra	Nő
208	Illés	Moána	Nő
209	Illés	Ambos	Férfi
210	Illés	Ilárion	Férfi
211	Hegedüs	Ulla	Nő
212	László	Elif	Nő
213	László	Lád	Férfi
214	Novák	Omár	Férfi
215	Novák	Ágnes	Nő
216	Novák	Balzsam	Nő
217	Novák	Szelma	Nő
218	Biró	Teobald	Férfi
219	Biró	Akitó	Férfi
220	Biró	Jelek	Férfi
221	Biró	Zazi	Nő
222	Biró	Palmira	Nő
223	Gáspár	Stella	Nő
224	Illés	Babita	Nő
225	Illés	Edmond	Férfi
226	Illés	Cvi	Férfi
227	Illés	Zsuzsa	Nő
228	Papp	Daren	Férfi
229	Papp	Srídhara	Férfi
230	Papp	Dafné	Nő
231	Papp	Monor	Férfi
232	Pintér	Alizé	Nő
233	Kerekes	Trisztán	Férfi
234	Kerekes	Hani	Nő
235	Oláh	Domicián	Férfi
236	Oláh	Denissza	Nő
237	Márton	Jáél	Nő
238	Virág	Aténa	Nő
239	Virág	Nova	Nő
240	Virág	Adolf	Férfi
241	Virág	Barnabás	Férfi
242	Váradi	Szandró	Férfi
243	Váradi	Vojta	Férfi
244	Váradi	Krizia	Nő
245	Váradi	Karen	Nő
246	Orsós	Pázmány	Férfi
247	Orsós	Anima	Nő
248	Orsós	Semjén	Férfi
249	Orsós	Imelda	Nő
250	Balla	Kamélia	Nő
251	Antal	Boglár	Nő
252	Antal	Bardó	Férfi
253	Antal	Zsigmond	Férfi
254	Antal	Brendon	Férfi
255	Szőke	Gaia	Nő
256	Papp	Algernon	Férfi
257	Papp	Aldea	Nő
258	Papp	Geminián	Férfi
259	Papp	Atika	Nő
260	Szűcs	Szidónia	Nő
261	Fazekas	Csemen	Férfi
262	Nemes	Hős	Férfi
263	Nemes	Márti	Nő
264	Nemes	Teréz	Nő
265	Nemes	Alida	Nő
266	Nemes	Britta	Nő
267	Bálint	Balassa	Férfi
268	Bálint	Oszkár	Férfi
269	Bálint	Kázmér	Férfi
270	Barta	Jávor	Férfi
271	Barta	Archibald	Férfi
272	Barta	Elvira	Nő
273	Jónás	Harsány	Férfi
274	Jónás	Járed	Férfi
275	Vincze	Berend	Férfi
276	Vincze	Felicián	Férfi
277	Lukács	Ajtony	Férfi
278	Lukács	Baldó	Férfi
279	Lukács	Szergej	Férfi
280	Fodor	Szohéila	Nő
281	Bognár	Mánuel	Férfi
282	Bognár	Tibád	Férfi
283	Bognár	Fradika	Nő
284	Balog*	Áldás	Férfi
285	Balog*	Björn	Férfi
286	Balog*	Dömjén	Férfi
287	Budai	Szovát	Férfi
288	Budai	Fedor	Férfi
289	Tamás	Mánóah	Férfi
290	Tamás	Marita	Nő
291	Tamás	Hubert	Férfi
292	Tamás	Beten	Férfi
293	Tamás	Erdő	Férfi
294	Kovács	Jaina	Nő
295	Virág	Brigi	Nő
296	Virág	Marcián	Férfi
297	Kelemen	Fedóra	Nő
298	Pásztor	Masa	Nő
299	Borbély	Adelinda	Nő
300	Illés	Ábrán	Férfi
301	Illés	Hiláriusz	Férfi
302	Illés	Ivetta	Nő
303	Szabó	Majoranna	Nő
304	Antal	Adrienna	Nő
305	Antal	Amélia	Nő
306	Antal	Dorotea	Nő
307	Antal	Lea	Nő
308	Katona	Liberátusz	Férfi
309	Katona	Adalbert	Férfi
310	Vörös	Franciska	Nő
311	Fazekas	Mona	Nő
312	Fazekas	Ámor	Férfi
313	Fazekas	Dejte	Férfi
314	Fazekas	Kerubin	Férfi
315	Berki	Manfréda	Nő
316	Fazekas	Fabó	Férfi
317	Fazekas	Mózes	Férfi
318	Fazekas	Lóci	Férfi
319	Fazekas	Géda	Nő
320	Tóth	Lorella	Nő
321	Fazekas	Nika	Nő
322	Fazekas	Filibert	Férfi
323	Fazekas	Lantos	Férfi
324	Lakatos	Norton	Férfi
325	Lakatos	Ramiel	Férfi
326	Lakatos	Ramira	Nő
327	Lakatos	Pénelopé	Nő
328	Molnár	Piládész	Férfi
329	Molnár	Deodát	Férfi
330	Molnár	Dzsenifer	Nő
331	Molnár	Jelena	Nő
332	Molnár	Apollinária	Nő
333	Székely	Nadinka	Nő
334	Pásztor	Ariana	Nő
335	Pásztor	Ildár	Férfi
336	Pásztor	Niobé	Nő
337	Mezei	Arlena	Nő
