id;nev;szulev
103;Staffenberger Lícia;1952
104;Radacsovszky Tankréd;1980
105;Ludány Ifigénia;1972
106;Fejes Zakeus;1970
107;Mihályi Manó;1979
108;Velancsics Koriolán;1975
109;Ferbstein Barót;1980
110;Madaras Éliás;1948
111;Ludány Adalberta;1979
112;Tordy Kató;1979
113;Mánya Norma;1952
114;Prokopiusz Éliás;1940
115;Subert Egyed;1944
116;Fraknói Aladár;1979
117;Gayer Cecilián;1960
118;Fisch Pető;1962
119;Kossa Edvárd;1938
120;Istóczy Modeszta;1959
121;Eszterházy Imelda;1953
122;Bághy Maximilla;1966
123;Eibel Jarmila;1967
124;Haberfeld Ernő;1941
125;Wertheim Daniella;1980
126;Jovanovits Agád;1952
127;Fitos Mirjam;1944
128;Krascsenits Hektor;1977
129;Lamberg Apród;1953
130;Duschoin Ariadné;1945
131;Nádosy Hella;1972
132;Dukay Karmelina;1954
133;Bohn Jákob;1974
134;Komis Jozafát;1956
135;Klocz Mimóza;1959
136;Martinszki Vincencia;1977
137;Petky Szabina;1985
138;Dillmont Liána;1948
139;Kilián Dukász;1972
140;Taub Ignác;1966
141;Sikeli Szörény;1974
142;Gelbman Edna;1955
143;Pauner Zolna;1959
144;Vásárhelyi Radamesz;1979
145;Bottlik Ugor;1981
146;Rozenbaum Hilária;1946
147;Ehrenwald Hedda;1959
148;Kenessey Paula;1967
149;Nikolits Nemere;1952
150;Csermelyi Alfréda;1959
151;Siklossy Iza;1940
152;Wachner Csenge;1954
153;Pekárik Éda;1954
154;Stegmüller Keve;1941
155;Hosztinszky Bianka;1952
156;Ludvigh Róza;1956
157;Czirer Gazsó;1944
158;Miriszlai Ivor;1972
159;Fölger Szonja;1963
160;Etlényi Kászon;1976
161;Imrich Viviána;1949
162;Kész Mercédesz;1938
163;Lámm Remig;1973
164;Trval Kenéz;1951
165;István Saul;1983
166;Bogdánfi Debóra;1947
167;Navratil Szeveréd;1956
168;Maróth Veron;1955
169;Demek Rupert;1938
170;Rabi Alárd;1968
171;Ripeán Elizeus;1961
172;Öszterreicher Bátor;1956
173;Igar Arany;1970
174;Hetyey Evariszt;1976
175;Lukács Eta;1951
176;Békásy Tárkány;1957
177;Matkovich Radamesz;1969
178;Solymosi Gyöngyvirág;1940
179;Nikolsburger Ivó;1947
180;Dóka Larina;1947
181;Crompó Benáta;1962
182;Fisch Berill;1962
183;Boksán Rúfusz;1946
184;Herczeg Valdemár;1944
185;Zerkovics Euszták;1944
186;Szakácsy Folkus;1975
187;Szeöke Napsugár;1964
188;Stelzl Bársonyka;1971
189;Seiwert Leopold;1949
190;Jurik Kalliszta;1972
191;Lichtenstein Gida;1946
192;Niedermajer Kesző;1956
193;Lera Marót;1976
194;Gebhardt Titanilla;1980
195;Hittaller Zöldike;1950
196;Gelb Márton;1966
197;Fleiszig Csilla;1977
198;Hlatki Minna;1955
199;Wetzler Galatea;1960
200;Köner Fábián;1974
201;Schullerin Trisztán;1947
202;Ludvigh Kardos;1979
203;Singer Ottó;1946
204;Bende Adolf;1946
205;Vertán Menyhért;1980
